ScanID,TargetSubnet,IPAddress,Hostname,HostStatus,MACAddress,ResponseTime,OSDetected,Port,Protocol,Service,PortState,Product,Version,Banner
SCAN-A6817F,127.0.0.1/24,127.0.0.13,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.130,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.131,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.132,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.133,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.134,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.135,localhost,ONLINE,Unknown,0.06ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.136,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.137,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.138,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.139,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.14,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.140,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.141,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.142,localhost,ONLINE,Unknown,0.02ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.143,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.144,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.145,localhost,ONLINE,Unknown,0.01ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
SCAN-A6817F,127.0.0.1/24,127.0.0.146,localhost,ONLINE,Unknown,0.03ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
